data	target	roc_auc_score	pr_auc_score
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	A0A5F9DUN4	0.9848484848484849	0.9166666666666665
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	A5X5Y0	0.9838709677419355	0.8333333333333333
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	A6YCJ1	0.975	0.8333333333333333
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	B0FL73	0.98	0.9166666666666666
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	C4YTQ8	0.5256869772998805	0.2062432737485891
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	G7ZKZ7	0.8787878787878788	0.49999999999999994
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	K7GSR7	0.7780373831775701	0.29343756733462617
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O08892	0.7575757575757576	0.4907407407407407
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O14746	0.20202020202020202	0.06768142252013219
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O14965	0.75	0.5526315789473684
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O43353	1.0	1.0
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O43570	0.9220779220779222	0.5916666666666666
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O60285	0.4722222222222222	0.1360708534621578
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O60674	0.4305555555555555	0.40545808966861596
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O60755	0.31034482758620685	0.06904761904761905
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O60840	0.8	0.26666666666666666
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O70212	0.6000000000000001	0.19281974153297682
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O70528	0.7008086253369272	0.5481620718462823
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O75030	0.625	0.43724696356275305
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O76074	0.775	0.35
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O94806	1.0	1.0
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O95069	0.9500000000000001	0.75
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O95153	0.7250000000000001	0.25757575757575757
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O95180	0.8	0.35571428571428565
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O95264	0.9838709677419355	0.8333333333333333
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O95342	0.7687074829931974	0.22667931907062344
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	O95819	0.8952380952380952	0.5093040293040293
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P00519	0.9310344827586207	0.41666666666666663
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P00533	0.9039473684210526	0.6596843853820598
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P00734	0.375	0.1125
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P00750	0.6515151515151515	0.4898989898989899
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P00915	1.0	1.0
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P00918	0.9921052631578947	0.9451515151515152
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P01375	0.9655172413793104	0.5833333333333333
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P03372	0.96875	0.8666666666666667
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P04150	1.0	1.0
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P04156	0.6060606060606061	0.22549019607843138
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P04278	0.975	0.8333333333333333
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P04626	0.696969696969697	0.18095238095238098
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P04798	0.7021028037383178	0.33844179510877065
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P05164	0.8484848484848485	0.2785714285714286
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P05177	0.7409615531605901	0.3141697797875918
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P05181	0.825	0.44658119658119655
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P05186	0.8686868686868687	0.5714285714285714
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P06239	0.7924528301886793	0.5153175621981783
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P06241	0.7012987012987012	0.26326391750838996
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P06493	0.5909090909090908	0.20952380952380953
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P07333	0.7575757575757576	0.26666666666666666
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P07550	0.9379310344827586	0.8310202250343454
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P07900	0.6294458229942101	0.3689000441494605
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P07947	0.8333333333333334	0.5396825396825397
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P07949	0.8387096774193549	0.5833333333333334
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P08172	0.8544600938967136	0.6543130083949512
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P08173	0.8954635108481263	0.6394693998000538
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P08183	0.7646356033452807	0.38960172150531625
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P08581	0.803030303030303	0.5194805194805194
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P08588	0.9314802844214609	0.8268808968808966
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P08659	0.6451612903225806	0.11688311688311688
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P08684	0.6392205056179776	0.14351287397871165
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P08908	0.9389763779527558	0.6154808024152391
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P08912	0.9137142857142857	0.5226997350146305
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P08913	0.8877551020408163	0.44577624620509576
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P09467	0.9500000000000001	0.75
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P09619	0.9407894736842106	0.8269230769230769
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P09917	0.9032258064516129	0.625
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P0DMS8	0.9027777777777779	0.5478021978021977
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P0DTD1	0.7741935483870968	0.5625
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P10275	0.6809523809523811	0.43055330634278
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P10608	0.894878706199461	0.7405913978494623
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P10632	0.710705596107056	0.2437885938260424
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P10635	0.7857056182502123	0.3556785244337997
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P10721	0.91875	0.6964285714285714
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P11229	0.9161290322580645	0.5963332270929306
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P11309	0.9249999999999999	0.575
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P11362	0.9	0.41666666666666663
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P11511	0.8475177304964538	0.6295815295815296
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P11712	0.6265678097003398	0.1508826253431094
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P12931	0.9137931034482758	0.41666666666666663
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P13569	0.9838709677419355	0.8333333333333333
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P13945	0.986111111111111	0.9242424242424242
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P14061	1.0	1.0
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P14416	0.9258345428156749	0.6322400634553875
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P14607	0.6052631578947368	0.3501354489164087
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P14867	0.74	0.2755952380952381
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P14902	0.9027777777777777	0.625
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P15121	0.99	0.95
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P15538	0.40909090909090906	0.13095238095238096
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P15823	0.8895027624309393	0.5646269455173624
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P16234	0.85	0.325
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P16591	0.9027777777777777	0.625
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P17252	0.66	0.3219827586206897
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P17861	0.6576576576576576	0.41349206349206347
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P17948	0.9444444444444444	0.7
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P18031	0.7424242424242423	0.48333333333333334
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P18089	0.8913043478260869	0.5377604047095116
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P18507	0.7916666666666667	0.37142857142857144
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P18825	0.9353535353535354	0.6776741859601977
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P18841	0.96	0.8303571428571428
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P18901	0.9646551724137931	0.7297484834709099
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P19838	0.8573232323232323	0.49862085389882815
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P20309	0.9074675324675323	0.7915136054421767
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P20813	0.6846153846153845	0.3318538647342995
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P20815	0.803125	0.34862745098039216
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P21397	0.8603896103896104	0.5368928273063611
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P21452	0.896551724137931	0.39285714285714285
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P21554	0.8299319727891157	0.5580062794348508
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P21728	0.9438383838383838	0.7228490849725919
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P21731	0.2096774193548387	0.05622188905547226
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P21917	0.869811320754717	0.561846378741812
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P21918	0.7861409796893667	0.31764071984660214
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P22303	0.945945945945946	0.6805555555555556
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P22748	0.8149350649350648	0.6741718426501035
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P23219	0.8197278911564626	0.3485922574157868
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P23280	0.846938775510204	0.8299319727891155
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P23576	0.8455882352941176	0.5892857142857143
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P23975	0.9201349831271091	0.7590283143908904
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P24462	0.7527777777777778	0.23123302193069636
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P24557	0.75	0.5059523809523809
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P24941	0.7083333333333333	0.2970760233918128
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P25021	0.7118421052631578	0.4440299825473734
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P25100	0.8530967942732648	0.466395108672355
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P27338	0.71	0.2552521008403361
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P27815	0.6805555555555556	0.45555555555555555
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P28221	0.950462962962963	0.7801594847647478
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P28222	0.8961038961038961	0.5714941155025741
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P28223	0.8266666666666667	0.3861192116938726
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P28335	0.8582918982158526	0.46000747606808057
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P28472	0.78	0.3333333333333333
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P28482	0.7387387387387387	0.16430976430976432
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P28566	0.867579908675799	0.5473046089712756
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P29274	0.7714285714285714	0.45835142567665366
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P29275	0.9827586206896552	0.8333333333333333
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P29466	0.9249999999999999	0.7
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P30542	0.7891156462585034	0.3864035087719298
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P30729	0.953168044077135	0.7682764131293545
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P30939	0.8652482269503546	0.4755876068376068
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P30940	0.8679245283018868	0.49956709956709955
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P31388	0.9530864197530865	0.7524771062271062
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P31389	0.9426406926406927	0.7198504525777254
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P31644	0.875	0.41666666666666663
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P31645	0.9354636591478696	0.7631351761926723
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P33260	0.8194444444444444	0.3222222222222222
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P33261	0.6701929783771216	0.2287285645249467
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P34897	0.6363636363636364	0.4471153846153846
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P34903	0.803030303030303	0.6222222222222222
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P34969	0.8955627705627706	0.5091540277837378
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P34972	0.891156462585034	0.5776315789473684
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P35218	0.7761904761904762	0.6650856389986824
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P35236	0.7987012987012987	0.7077845322526173
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P35348	0.9537331701346389	0.7562308224299397
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P35354	0.8378378378378378	0.5032679738562091
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P35367	0.9054545454545455	0.5272771015223621
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P35368	0.8929577464788733	0.43193651456057214
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P35372	0.8340080971659919	0.5709135084117991
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P35408	0.84	0.36547619047619045
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P35462	0.9661327231121282	0.7250451287643686
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P35498	0.8852813852813852	0.36773345701917126
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P35916	0.59	0.20535714285714285
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P35968	0.9666666666666667	0.7162698412698412
RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P36888	0.8238095238095238	0.6298418972332016
